Class, #, Occurance, Right, ID
Botnet ARES, 0, 74, 71, 95.946%
FTP-Patator, 1, 26, 26, 100.000%
SSH-Patator, 2, 252, 252, 100.000%
DDoS LOIT, 3, 9364, 9363, 99.989%
DoS GoldenEye, 4, 742, 719, 96.900%
DoS Hulk, 5, 23185, 22822, 98.434%
DoS Slowhttptest, 6, 419, 419, 100.000%
DoS slowloris, 7, 384, 373, 97.135%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7571, 6111, 80.716%
Benign, 10, 171405, 166521, 97.151%
PortScan - Firewall off, 11, 15847, 14073, 88.805%
PortScan - Firewall on, 12, 38, 27, 71.053%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 68, 56, 82.353%

Benign, 10, 171405, 166521, 97.151%
Attack, !10, 57971, 54313, 93.690%
Overall, ALL, 229376, 220834, 96.276%
