,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.5.6
Proxy task, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Epochs Supervised, 200, 200, 200, 200, 200, 200
Training percentage, 1.00 %, 1.00 %, 1.00 %, 1.00 %, 1.00 %, 1.00 %
Specialized subset, , , , , , 

Training metrics,,,,,,
Best epoch, 159, 121, 191, 89, 183, 109
Time to best epoch, 0h 52m, 0h 40m, 1h 3m, 0h 33m, 1h 1m, 1h 15m

Performance metrics,,,,,,
Accuracy, 98.305 %, 98.413 %, 98.348 %, 98.442 %, 98.404 %, 98.329 %
Detection rate, 78.846 %, 81.994 %, 81.274 %, 79.185 %, 81.114 %, 78.066 %
Precision, 74.673 %, 75.308 %, 74.419 %, 77.306 %, 75.531 %, 75.491 %
Specificity, 99.019 %, 99.014 %, 98.974 %, 99.148 %, 99.037 %, 99.071 %
F1-Measure, 76.703 %, 78.509 %, 77.696 %, 78.234 %, 78.223 %, 76.757 %
False alarm rate, 25.327 %, 24.692 %, 25.581 %, 22.694 %, 24.469 %, 24.509 %
Missed alarm rate, 21.154 %, 18.006 %, 18.726 %, 20.815 %, 18.886 %, 21.934 %
