,1.2.1,2.4.1,2.5.1,2.6.1
Epochs Supervised, 50, 50, 200, 600
Proxy task, NONE, NONE, NONE, NONE
Training percentage, 90.00 %, 10.00 %, 1.00 %, 10.00 %
Specialized subset, , , , UNSW15_10

Training metrics,,,,
Best epoch, 41, 25, 159, 77
Time to best epoch, 8h 38m, 0h 44m, 0h 52m, 0h 6m

Performance metrics,,,,
Accuracy, 98.930 %, 98.654 %, 98.305 %, 97.754 %
Detection rate, 82.936 %, 80.684 %, 78.846 %, 65.595 %
Precision, 86.315 %, 81.166 %, 74.673 %, 69.315 %
Specificity, 99.517 %, 99.313 %, 99.019 %, 98.934 %
F1-Measure, 84.592 %, 80.924 %, 76.703 %, 67.404 %
False alarm rate, 13.685 %, 18.834 %, 25.327 %, 30.685 %
Missed alarm rate, 17.064 %, 19.316 %, 21.154 %, 34.405 %
