,1.3.1,3.1.1,3.2.1,3.3.1
Proxy task, NONE, NONE, NONE, NONE
Epochs Supervised, 50, 50, 200, 600
Training percentage, 90.00 %, 10.00 %, 1.00 %, 10.00 %
Specialized subset, , , , CIC17_10

Training metrics,,,,
Best epoch, 45, 47, 83, 125
Time to best epoch, 7h 51m, 1h 15m, 0h 29m, 0h 10m

Performance metrics,,,,
Accuracy, 99.658 %, 99.448 %, 99.189 %, 93.154 %
Detection rate, 98.884 %, 98.576 %, 98.640 %, 82.865 %
Precision, 99.762 %, 99.236 %, 98.161 %, 89.271 %
Specificity, 99.920 %, 99.743 %, 99.374 %, 96.633 %
F1-Measure, 99.321 %, 98.905 %, 98.400 %, 85.949 %
False alarm rate, 0.238 %, 0.764 %, 1.839 %, 10.729 %
Missed alarm rate, 1.116 %, 1.424 %, 1.360 %, 17.135 %
