,,2.4.1,2.4.2,2.4.3,2.4.4,2.4.5,2.4.6
Class, #, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Analysis, 0, 28.846%, 38.462%, 28.302%, 30.189%, 26.415%, 21.154%
Backdoors, 1, 90.000%, 87.500%, 77.500%, 73.684%, 80.000%, 75.000%
DoS, 2, 84.733%, 82.952%, 81.888%, 85.751%, 80.612%, 81.980%
Exploits, 3, 93.625%, 94.055%, 93.134%, 93.061%, 93.272%, 92.610%
Fuzzers, 4, 51.254%, 50.820%, 52.972%, 53.256%, 51.812%, 51.092%
Generic, 5, 93.897%, 89.647%, 91.589%, 91.589%, 91.355%, 91.274%
Normal, 6, 99.313%, 99.414%, 99.394%, 99.364%, 99.415%, 99.397%
Reconnaissance, 7, 96.888%, 95.101%, 95.784%, 95.186%, 97.386%, 95.956%
Shellcode, 8, 74.510%, 78.710%, 71.429%, 69.079%, 73.377%, 62.338%
Worms, 9, 94.737%, 100.000%, 94.737%, 94.737%, 94.737%, 94.737%

Benign, 6, 99.313%, 99.414%, 99.394%, 99.364%, 99.415%, 99.397%
Attack, !6, 80.684%, 80.227%, 80.397%, 80.542%, 80.342%, 79.411%
Overall, ALL, 98.654%, 98.737%, 98.721%, 98.699%, 98.740%, 98.691%
